eval_id	interface	c1_x	c1_y	r1	a1	c2_x	c2_y	r2	a2	c3_x	c3_y	r3	a3
1	NO_ID	0.808493	0.894414	0.281704	77.954504	0.841541	0.770455	0.499391	35.737790	0.442621	0.126015	0.405978	78.740020
2	NO_ID	0.817307	0.207674	0.356809	42.794467	0.346482	0.540816	0.339678	49.414720	0.814047	0.095863	0.099372	81.403787
3	NO_ID	0.737976	0.232676	0.167718	50.074402	0.790108	0.649141	0.214447	53.509839	0.050556	0.756519	0.097392	70.729086
4	NO_ID	0.488711	0.821142	0.538404	44.372208	0.550034	0.841726	0.251775	74.805062	0.874639	0.563024	0.604578	66.342897
5	NO_ID	0.866158	0.217114	0.074171	51.600282	0.189367	0.190182	0.380603	39.614467	0.156452	0.301070	0.365666	59.170644
6	NO_ID	0.623905	0.944602	0.120334	86.003211	0.561223	0.729131	0.241198	68.236550	0.354241	0.787277	0.197215	65.140362
7	NO_ID	0.732335	0.118272	0.616303	30.769875	0.726136	0.762584	0.489924	44.048996	0.561802	0.896437	0.464945	49.737965
8	NO_ID	0.241888	0.921869	0.516061	40.528005	0.698824	0.843715	0.100593	79.517423	0.771559	0.828702	0.143443	42.942923
9	NO_ID	0.667675	0.506661	0.335317	88.009515	0.819167	0.924380	0.096642	83.010496	0.726349	0.706023	0.526855	40.954797
10	NO_ID	0.587707	0.586729	0.171400	40.901784	0.330806	0.865646	0.406263	82.003498	0.458484	0.333351	0.249154	42.647472
11	NO_ID	0.091949	0.156467	0.632701	35.696430	0.801242	0.380593	0.540320	45.309857	0.082031	0.901444	0.137781	50.207103
12	NO_ID	0.889671	0.079266	0.358974	46.001801	0.783067	0.411447	0.093946	49.325284	0.188625	0.196902	0.279548	80.835386
13	NO_ID	0.140984	0.906692	0.511996	79.422621	0.459802	0.177158	0.639986	68.653093	0.469844	0.675026	0.141449	46.557865
14	NO_ID	0.845461	0.385753	0.336358	48.635669	0.227221	0.129541	0.486308	61.086131	0.069699	0.594070	0.630894	82.697317
15	NO_ID	0.504028	0.056362	0.336273	61.797808	0.624111	0.399758	0.063615	60.119654	0.848094	0.429736	0.114527	46.039216
16	NO_ID	0.787319	0.331170	0.401867	86.899938	0.868925	0.445285	0.613774	50.207840	0.103550	0.403794	0.398997	55.882243
17	NO_ID	0.265992	0.379749	0.527200	65.218511	0.842195	0.861494	0.214456	70.624555	0.479950	0.155451	0.686431	64.415173
